panel,size_mm,area_m2,kg,runs,led_m,clips,power_feeds,bridges
P00,1000x2000,2.0,17.4,2,5.75,4,4,0
P01,1000x2000,2.0,17.4,3,4.13,6,2,3
P02,1000x2000,2.0,17.4,1,4.64,2,2,0
P03,1000x2000,2.0,17.4,2,3.46,4,2,0
P04,500x2000,1.0,8.7,1,2.58,2,2,0
P05,1000x2000,2.0,17.4,4,5.38,8,6,0
P07,2000x1000,2.0,17.4,2,3.68,3,4,0
P11,1000x1000,1.0,8.7,3,2.02,5,4,2
P15,500x1000,0.5,4.3,2,1.2,4,2,0
P18,2000x1000,2.0,17.4,4,4.13,8,4,0
P20,1000x1000,1.0,8.7,3,1.1,6,2,0
P21,2000x1000,2.0,17.4,1,4.25,2,2,2
P22,1500x1000,1.5,13.1,2,1.5,4,2,0
P23,2000x1000,2.0,17.4,4,4.99,8,8,0
P25,2000x1000,2.0,17.4,3,4.05,6,4,0
P26,2000x1000,2.0,17.4,3,4.31,6,6,0
P27,2000x1000,2.0,17.4,5,4.83,10,7,0
P30,1000x1000,1.0,8.7,2,1.73,4,2,5
P31,2000x1000,2.0,17.4,4,3.75,8,4,0
P32,2000x1000,2.0,17.4,1,0.59,2,1,0
P35,1000x1000,1.0,8.7,2,1.51,4,2,0
P38,2000x1000,2.0,17.4,2,1.21,4,2,2
P39,2000x1000,2.0,17.4,3,4.23,6,3,4
P42,2000x1000,2.0,17.4,4,4.21,8,7,2
P44,500x1000,0.5,4.4,1,0.55,2,2,0
P47,2000x1000,2.0,17.4,2,3.81,4,4,0
P51,2000x1000,2.0,17.4,3,7.7,6,2,1
P52,2000x1000,2.0,17.4,3,1.22,6,2,0
P53,2000x1000,2.0,17.4,1,1.05,2,2,0
P56,2000x1000,2.0,17.4,2,2.97,4,2,0
P58,2000x1000,2.0,17.4,5,5.74,9,1,5
P62,2000x1000,2.0,17.4,4,6.29,8,1,0
P63,2000x1000,2.0,17.4,1,0.8,2,2,0
